4,
14,
-1,15,15,35,36,46,47,48,49,60,
61,
63,
88,
0,89,89,108,109,118,128,129,130,141,
1,142,142,161,162,171,181,182,183,194,
2,195,195,214,215,224,234,235,236,247,
3,248,248,267,268,277,287,288,289,300,
4,301,301,320,321,330,340,341,342,353,
5,354,354,373,374,383,393,394,395,406,
6,407,407,426,427,436,446,447,448,459,
7,460,460,479,480,489,499,500,501,512,
8,513,513,532,533,542,552,553,554,565,
566,
575,
